23 columns delimited by 22 spaces:

B = Bass (2 columns, played syncopated over 8 quavers in a bar)
H = Harmony (5 columns, played rotating over 8 quavers)
M = Melody 1 (8 columns played in series, each is a quaver long)
N = Melody 2 (8 columns)

B1	B2	H1	H2	H3	H4	H5	M1	M2	M3	M4	M5	M6	M7	M8	N1	N2	N3	N4	N5	N6	N7	N8	Comment
,,G	,G	,F	Ab.	C	F	`Ab.											``G	X	``Bb~7		``Ab.		
,,,F	,,F	,F	Ab.	C	F	`Ab.	X				`C		``Ab.		X								
,,Ab.	,Ab.	,F	Ab.	C	F	`Ab.	X		``Ab.	`Bb	``Ab.		``G										
,,,Bb	,,Bb	,F	,Bb	Db.	F	Bb	`F		``Eb.		`Db.		Bb										
,,,,G'	,,,G'	,F	,Bb	Db.	F	Bb			X										`F		`E'	X	
,,C	,C	G	C	Eb~19	`G	`C	X				``G		`Eb~19										
,Bb.	Bb.	G	C	Eb~19	`G	`C	X		`D'~7			X	`C										
,,Ab.	,Ab.	,F	Ab.	C	F	`Ab.			X														
,,,F	,,F	,F	C	F	`G	`C																	
,,,F	,,F	,F	,A'	C	F	A'	X				`C		`F										5a (major)
,,,A'	,,A'	,F	C	F	A'	`C			X		`C		D'										
,,,Bb	,,Bb	,F	,Bb	,D'	F	Bb	X		Bb		X		,G'										
,,,,G'	,,,G'	,F	,D'	F	Bb	D'					X				``C	X	``G	`F	X	`F	`A'	``G	
,,C	,C	G	C	E'	`G	`C	X				`C		`E'		X								
,,Bb~7	,Bb~7	G	E'	`G	`C	`E'		X	``D		X		`C										
,,,A'	,,A'	,F	,A'	C	F	A'					X						`A'	X		`Bb		X	
,,G	,G	,F	C	F	A'	`C									``C		X	`F	X	`F	`Bb	`A'	
,,,F	,,F	,F	,A'	C	F	A'	X				`C		`A'			X							
,,,A'	,,A'	,F	C	F	A'	`C			X		``G		`F										
,,,Bb	,,Bb	,F	,Bb	,D'	F	Bb	X		`E'		X		D'										
,,,,G'	,,,G'	,F	,D'	F	Bb	D'				X					``C		X	`F		`F	`Bb	``G	
,,C	,C	G	C	E'	`G	`C	X				``Ab~13		``G		X								
,,Bb~7	,Bb~7	G	E'	`G	`C	`E'		X	`F#~11		X		`E'	X									
,,,A'	,,A'	,F	,A'	C	F	A'	`F		X								`A'	`Bb	``C	X	``C		
,,G	,G	,F	C	F	A'	`C										X							
,,,F	,,F	,F	,A'	C	F	A'	X				`C		`A'										
,,,A'	,,A'	,F	C	F	A'	`C		X	`A'	`Bb	`A'		``G										
,,,Bb	,,Bb	,F	,Bb	,D'	F	Bb	`F		`E'		D'		`Bb										
,,,,G'	,,,G'	,F	,D'	F	Bb	D'				X					``C	X	``G	`F	X	`F	`A'	``G	
,,C	,C	G	C	E'	`G	`C	X				``Ab~13		``G		X								
,,Bb~7	,Bb~7	G	E'	`G	`C	`E'		X	`F#~11		X		`E'	X									
,,C	,C	G	C	E'	`G	`C					``B'		``Bb~7						`Ab~13		`G		
,,Bb~7	,Bb~7	G	E'	`G	`C	`E'		X	``Ab~13		X		``G	X		X	F#~11		X		E'	X	
,,C	,C	G	C	E'	`G	`C					```D		``C						``Ab~13		``G		
,,Bb~7	,Bb~7	G	E'	`G	`C	`E'		X	``B'		X		``Bb~7			X	`F#~11		X		`E'		
,,,A'	,,A'	,F	,A'	C	F	A'	`A'				X				`F		`A'	`B~11	``C	X	``Db~13	X	
,,G	,G	,F	C	F	A'	`C									``Eb~7		``Eb~29	X	``E'		``E~61	X	
,,,F	,,F	,F	,Bb	C	F	Bb									``E~31	`E#'''	```F~7	``F~127	``F				END
,,,F	,,F	,F	G	C	F	`G										X							
,,,F	,,F	,F	,A'	C	F	A'																	
,,,F	,,F	,F	,A'	C	F	A'	,A'				X				F				X				FINISH on 1st beat
